last_updated_price,Price,Station,Area,Thanks
2024-06-06 00:40:43,3.79,"('Fastrip', '195 W Hermosa St & N Sweetbriar Ave')",Lindsay,"('DAVEFMCC', ' 8 hours ago')"
2024-06-06 00:40:43,3.95,"('Wintun Mini Market', '3790 State Hwy 45')",Colusa,"('nestalazio', ' 2 hours ago')"
2024-06-06 00:40:43,3.99,"('Feather Falls Mini Mart', '6032 Lower Wyandotte Rd & Pano Ln')",Oroville,"('SilverFoxEZ', ' 3 hours ago')"
2024-06-06 00:40:43,4.09,"('Berry Creek Rancheria RV Park', '3900 Olive Hwy near Tyme Way')",Oroville,"('Buddy_d9udrn69', ' 18 hours ago')"
2024-06-06 00:40:43,4.13,"('Roadrunner Express', '2214 Lake Park Dr near Soboba Rd')",San Jacinto,"('Buddy_wcqap2an', ' 5 hours ago')"
2024-06-06 00:40:43,4.15,"('Costco', '26610 Ynez Rd & Promenade Mall S')",Temecula,"('laureano1', ' 3 hours ago')"
2024-06-06 00:40:43,4.19,"('Gulf', '72275 E Ramon Rd & Varner Rd')",Thousand Palms,"('DesertRat2011', ' 4 hours ago')"
2024-06-06 00:40:43,4.25,"('ARCO', '3368 S Riverside Ave & Agua Mansa Rd')",Bloomington,"('SurveyX', ' 8 hours ago')"
2024-06-06 00:40:43,4.29,"('Mohsen Oil #7', '3205 Main St & 3rd Ave')",Chula Vista,"('RebIT2015', ' 3 hours ago')"
2024-06-06 00:40:43,4.29,"('Valero', '72360 E Ramon Rd & Date Gardens Dr')",Thousand Palms,"('DesertRat2011', ' 4 hours ago')"
2024-06-06 00:40:43,4.29,"('Chevron', '72276 E Ramon Rd & Varner Rd')",Thousand Palms,"('DesertRat2011', ' 4 hours ago')"
2024-06-06 00:40:43,4.29,"('Morongo Travel Center', '49020 Seminole Dr & Apache Tr')",Cabazon,"('jgkurtz81', ' 5 hours ago')"
2024-06-06 00:40:43,4.29,"('76', '1944 N Alder Ave near Renaissance Pkwy')",Rialto,"('jgkurtz81', ' 6 hours ago')"
2024-06-06 00:40:43,4.31,"('Rialto Travel Center', '3610 S Riverside Ave & Agua Mansa Rd')",Bloomington,"('SurveyX', ' 8 hours ago')"
2024-06-06 00:40:43,4.32,"(""Sam's Club"", '34220 Monterey Ave & Dinah Shore Dr')",Palm Desert,"('DesertRat2011', ' 4 hours ago')"
2024-06-06 00:40:43,6.99,"('Chevron', '200 CA-62 & US-95')",Vidal Junction,"('Goetzome', ' 8 hours ago')"
2024-06-06 00:40:43,6.89,"('Mobil', '5560 Van Nuys Blvd & Burbank Blvd')",Sherman Oaks,"('gassed-out', ' 3 hours ago')"
2024-06-06 00:40:43,6.78,"('Mobil', '2207 Colorado Blvd & Eagle Rock Blvd')",Eagle Rock,"('Geisharocks', ' Tue 8:36 PM')"
2024-06-06 00:40:43,6.69,"('Chevron', '340 Five Cities Dr & A Ave')",Pismo Beach,"('DataFeed', ' 12 hours ago')"
2024-06-06 00:40:43,6.59,"('Chevron', '2890 Lenwood Rd & Serrano Ave')",Barstow,"('katgas50', ' 12 hours ago')"
2024-06-06 00:40:43,6.59,"('Chevron', '12860 Riverside Dr & Coldwater Canyon Ave')",North Hollywood,"('jgkurtz81', ' 8 hours ago')"
2024-06-06 00:40:43,6.44,"('Mobil', '22 Vista Point Dr & Tioga Pass Rd')",Lee Vining,"('tioga1', ' 6 hours ago')"
2024-06-06 00:40:43,6.39,"('Chevron', '3991 E Commerce Way & Arena Blvd')",Sacramento,"('JVMathews', ' Tue 7:52 PM')"
2024-06-06 00:40:43,6.39,"('Chevron', '26990 Hesperian Blvd & Aldengate Way')",Hayward,"('Soulplayez', ' Tue 11:45 PM')"
2024-06-06 00:40:43,6.39,"('Shell', '1494 Carrizo Gorge Rd & I-8')",Jacumba,"('DataFeed', ' 12 hours ago')"
2024-06-06 00:40:43,6.39,"('Chevron', '12353 Deerfield Dr & Coldstream Rd')",Truckee,"('bigbakey', ' 10 hours ago')"
2024-06-06 00:40:43,6.34,"('Valero', '9300 Chantry Hill Rd & Newcastle Rd')",Newcastle,"('roadking1951', ' 21 hours ago')"
2024-06-06 00:40:43,6.29,"('76', '15171 Los Gatos Blvd & Lark Ave')",Los Gatos,"('raptorsvt', ' 4 hours ago')"
2024-06-06 00:40:43,6.29,"('Chevron', '2194 Main St & Burton Dr')",Cambria,"('NotreDameCoach', ' 1 hour ago')"
2024-06-06 00:40:43,6.29,"('Shell', '589 Main St & Kent St')",Cambria,"('NotreDameCoach', ' 1 hour ago')"
last_updated_price,Price,Station,Area,Thanks
2024-06-06 03:42:39,3.79,"('Fastrip', '195 W Hermosa St & N Sweetbriar Ave')",Lindsay,"('DAVEFMCC', ' 11 hours ago')"
2024-06-06 03:42:39,3.95,"('Wintun Mini Market', '3790 State Hwy 45')",Colusa,"('4lortech', ' 1 hour ago')"
2024-06-06 03:42:39,3.99,"('Feather Falls Mini Mart', '6032 Lower Wyandotte Rd & Pano Ln')",Oroville,"('SilverFoxEZ', ' 6 hours ago')"
2024-06-06 03:42:39,4.09,"('Berry Creek Rancheria RV Park', '3900 Olive Hwy near Tyme Way')",Oroville,"('Buddy_d9udrn69', ' 21 hours ago')"
2024-06-06 03:42:39,4.13,"('Roadrunner Express', '2214 Lake Park Dr near Soboba Rd')",San Jacinto,"('shyguy2004', ' 3 hours ago')"
2024-06-06 03:42:39,4.15,"('Costco', '26610 Ynez Rd & Promenade Mall S')",Temecula,"('laureano1', ' 6 hours ago')"
2024-06-06 03:42:39,4.19,"('Gulf', '72275 E Ramon Rd & Varner Rd')",Thousand Palms,"('DesertRat2011', ' 7 hours ago')"
2024-06-06 03:42:39,4.25,"('ARCO', '3368 S Riverside Ave & Agua Mansa Rd')",Bloomington,"('SurveyX', ' 11 hours ago')"
2024-06-06 03:42:39,4.29,"('Mohsen Oil #7', '3205 Main St & 3rd Ave')",Chula Vista,"('RebIT2015', ' 6 hours ago')"
2024-06-06 03:42:39,4.29,"('Valero', '72360 E Ramon Rd & Date Gardens Dr')",Thousand Palms,"('DesertRat2011', ' 7 hours ago')"
2024-06-06 03:42:39,4.29,"('Chevron', '72276 E Ramon Rd & Varner Rd')",Thousand Palms,"('DesertRat2011', ' 7 hours ago')"
2024-06-06 03:42:39,4.29,"('Morongo Travel Center', '49020 Seminole Dr & Apache Tr')",Cabazon,"('jgkurtz81', ' 8 hours ago')"
2024-06-06 03:42:39,4.29,"('76', '1944 N Alder Ave near Renaissance Pkwy')",Rialto,"('jgkurtz81', ' 9 hours ago')"
2024-06-06 03:42:39,4.31,"('Rialto Travel Center', '3610 S Riverside Ave & Agua Mansa Rd')",Bloomington,"('SurveyX', ' 11 hours ago')"
2024-06-06 03:42:39,4.32,"(""Sam's Club"", '34220 Monterey Ave & Dinah Shore Dr')",Palm Desert,"('DesertRat2011', ' 7 hours ago')"
2024-06-06 03:42:39,6.99,"('Chevron', '200 CA-62 & US-95')",Vidal Junction,"('Goetzome', ' 11 hours ago')"
2024-06-06 03:42:39,6.89,"('Mobil', '5560 Van Nuys Blvd & Burbank Blvd')",Sherman Oaks,"('gassed-out', ' 3 hours ago')"
2024-06-06 03:42:39,6.78,"('Mobil', '2207 Colorado Blvd & Eagle Rock Blvd')",Eagle Rock,"('Geisharocks', ' Tue 8:36 PM')"
2024-06-06 03:42:39,6.69,"('Chevron', '340 Five Cities Dr & A Ave')",Pismo Beach,"('DataFeed', ' 15 hours ago')"
2024-06-06 03:42:39,6.59,"('Chevron', '2890 Lenwood Rd & Serrano Ave')",Barstow,"('katgas50', ' 15 hours ago')"
2024-06-06 03:42:39,6.59,"('Chevron', '12860 Riverside Dr & Coldwater Canyon Ave')",North Hollywood,"('jgkurtz81', ' 11 hours ago')"
2024-06-06 03:42:39,6.44,"('Mobil', '22 Vista Point Dr & Tioga Pass Rd')",Lee Vining,"('tioga1', ' 9 hours ago')"
2024-06-06 03:42:39,6.39,"('Chevron', '3991 E Commerce Way & Arena Blvd')",Sacramento,"('JVMathews', ' Tue 7:52 PM')"
2024-06-06 03:42:39,6.39,"('Chevron', '26990 Hesperian Blvd & Aldengate Way')",Hayward,"('Soulplayez', ' Tue 11:45 PM')"
2024-06-06 03:42:39,6.39,"('Shell', '1494 Carrizo Gorge Rd & I-8')",Jacumba,"('DataFeed', ' 15 hours ago')"
2024-06-06 03:42:39,6.39,"('Chevron', '12353 Deerfield Dr & Coldstream Rd')",Truckee,"('bigbakey', ' 13 hours ago')"
2024-06-06 03:42:39,6.34,"('Valero', '9300 Chantry Hill Rd & Newcastle Rd')",Newcastle,"('roadking1951', ' 24 hours ago')"
