last_updated_price,Price,Station,Area,Thanks
2024-06-06 00:40:43,3.89,"('Fastrip', '195 W Hermosa St & N Sweetbriar Ave')",Lindsay,"('DAVEFMCC', ' 8 hours ago')"
2024-06-06 00:40:43,3.89,"('Valero', '122 W Hermosa St & N Elmwood Ave')",Lindsay,"('DAVEFMCC', ' 8 hours ago')"
2024-06-06 00:40:43,4.09,"('Feather Falls Mini Mart', '6032 Lower Wyandotte Rd & Pano Ln')",Oroville,"('SilverFoxEZ', ' 3 hours ago')"
2024-06-06 00:40:43,4.13,"('American Gas', '9111 Citrus Ave & Fontana Ave')",Fontana,"('TovarFamily', ' 4 hours ago')"
2024-06-06 00:40:43,4.13,"('Fastrip', '1687 CA-99 & Spruce St')",Gridley,"('DragonQueen007', ' 9 hours ago')"
2024-06-06 00:40:43,4.15,"('Conserv Fuel', '9142 Citrus Ave & Fontana Ave')",Fontana,"('rrgashow', ' 8 hours ago')"
2024-06-06 00:40:43,4.19,"('FUEL UP!', '1124 E Chapman Ave & Raymond Ave')",Fullerton,"('greycherry', ' 2 hours ago')"
2024-06-06 00:40:43,4.19,"('FUEL UP!', '1021 E Shaw Ave & N First St')",Fresno - NE,"('sandyshelton71', ' 4 hours ago')"
2024-06-06 00:40:43,4.19,"('FUEL UP!', '16090 Arrow Blvd & Citrus Ave')",Fontana,"('buddy_345', ' 6 hours ago')"
2024-06-06 00:40:43,4.19,"('Foxxy Gasoline', '2620 Old 1st St & Junction Ave')",Livermore,"('Owner', ' 7 hours ago')"
2024-06-06 00:40:43,4.19,"('Fuel UP!', '4994 E Ashlan Ave & Willow Ave')",Fresno - NE,"('Owner', ' 9 hours ago')"
2024-06-06 00:40:43,4.19,"('True Turbo Top Tier Gas', '15313 Merrill Ave & Beech Ave')",Fontana,"('Loveasun', ' 9 hours ago')"
2024-06-06 00:40:43,4.25,"('Fast Stop Mini Mart #2', '3101 S Market St & Grange St')",Redding,"('AZChryss2016', ' 4 hours ago')"
2024-06-06 00:40:43,4.25,"('Patriot', '3440 S Market St near Veda St')",Redding,"('roofrayser', ' 7 hours ago')"
2024-06-06 00:40:43,4.25,"('Diamond Gas & Mart', '4904 Southfront Rd & Southfront Ln')",Livermore,"('zaakriaz123', ' 14 hours ago')"
2024-06-06 00:40:43,6.89,"('Chevron', '200 CA-62 & US-95')",Vidal Junction,"('Goetzome', ' 8 hours ago')"
2024-06-06 00:40:43,6.79,"('Chevron', '12353 Deerfield Dr & Coldstream Rd')",Truckee,"('bigbakey', ' 10 hours ago')"
2024-06-06 00:40:43,6.74,"('Mobil', '22 Vista Point Dr & Tioga Pass Rd')",Lee Vining,"('tioga1', ' 6 hours ago')"
2024-06-06 00:40:43,6.49,"('76', '10041 Donner Pass Rd & Bridge St')",Truckee,"('GrHp', ' 17 hours ago')"
2024-06-06 00:40:43,6.39,"('Beacon', '10009 Donner Pass Rd & Bridge St')",Truckee,"('GrHp', ' 17 hours ago')"
2024-06-06 00:40:43,6.29,"('Chevron', '15838 Paul Negra Rd & W Nees Ave')",Firebaugh,"('Buddy_f0w5bwgv', ' Tue 7:07 PM')"
2024-06-06 00:40:43,6.29,"('Shell', '900 Orange Ave & 9th St')",Coronado,"('2dancing', ' 8 hours ago')"
2024-06-06 00:40:43,6.27,"('Chevron', '2194 Main St & Burton Dr')",Cambria,"('NotreDameCoach', ' 1 hour ago')"
2024-06-06 00:40:43,6.25,"('Shell', '589 Main St & Kent St')",Cambria,"('NotreDameCoach', ' 1 hour ago')"
2024-06-06 00:40:43,6.23,"('Chevron', '2817 Honolulu Ave & La Crescenta Ave')",Verdugo City,"('sclement', ' 15 hours ago')"
2024-06-06 00:40:43,6.19,"('Sinclair', '400 Orange Ave & 4th St')",Coronado,"('2dancing', ' 8 hours ago')"
2024-06-06 00:40:43,6.19,"('76', '1250 Huntington Dr & Buena Vista St')",Duarte,"('jgkurtz81', ' 7 hours ago')"
2024-06-06 00:40:43,6.19,"('ARCO', '501 Telegraph Canyon Rd & Halecrest Dr')",Chula Vista,"('#12#_waxbee', ' 7 hours ago')"
2024-06-06 00:40:43,6.19,"('Chevron', '800 5th St & Herold Pkwy')",Gonzales,"('rendahdz', ' 4 hours ago')"
2024-06-06 00:40:43,6.19,"('76', '3275 E Foothill Blvd & Sierra Madre Villa Ave')",Pasadena,"('moto04', ' 1 hour ago')"
last_updated_price,Price,Station,Area,Thanks
2024-06-06 03:42:39,3.89,"('Fastrip', '195 W Hermosa St & N Sweetbriar Ave')",Lindsay,"('DAVEFMCC', ' 11 hours ago')"
2024-06-06 03:42:39,3.89,"('Valero', '122 W Hermosa St & N Elmwood Ave')",Lindsay,"('DAVEFMCC', ' 11 hours ago')"
