last_updated_price,Price,Station,Area,Thanks
2024-06-06 00:40:43,3.99,"('Valero', '122 W Hermosa St & N Elmwood Ave')",Lindsay,"('DAVEFMCC', ' 8 hours ago')"
2024-06-06 00:40:43,3.99,"('Fastrip', '195 W Hermosa St & N Sweetbriar Ave')",Lindsay,"('DAVEFMCC', ' Tue 2:03 PM')"
2024-06-06 00:40:43,4.19,"('Feather Falls Mini Mart', '6032 Lower Wyandotte Rd & Pano Ln')",Oroville,"('SilverFoxEZ', ' 3 hours ago')"
2024-06-06 00:40:43,4.23,"('American Gas', '9111 Citrus Ave & Fontana Ave')",Fontana,"('TovarFamily', ' 4 hours ago')"
2024-06-06 00:40:43,4.23,"('Fastrip', '1687 CA-99 & Spruce St')",Gridley,"('DragonQueen007', ' 9 hours ago')"
2024-06-06 00:40:43,4.29,"('Costco', '2270 Clovis Ave & Santa Ana Ave')",Clovis,"('srjsr', ' 3 hours ago')"
2024-06-06 00:40:43,4.29,"('FUEL UP!', '1124 E Chapman Ave & Raymond Ave')",Fullerton,"('greycherry', ' 2 hours ago')"
2024-06-06 00:40:43,4.29,"('FUEL UP!', '1021 E Shaw Ave & N First St')",Fresno - NE,"('sandyshelton71', ' 4 hours ago')"
2024-06-06 00:40:43,4.29,"('FUEL UP!', '16090 Arrow Blvd & Citrus Ave')",Fontana,"('buddy_345', ' 6 hours ago')"
2024-06-06 00:40:43,4.29,"('Foxxy Gasoline', '2620 Old 1st St & Junction Ave')",Livermore,"('Owner', ' 7 hours ago')"
2024-06-06 00:40:43,4.29,"('Fuel UP!', '4994 E Ashlan Ave & Willow Ave')",Fresno - NE,"('Owner', ' 9 hours ago')"
2024-06-06 00:40:43,4.29,"('True Turbo Top Tier Gas', '15313 Merrill Ave & Beech Ave')",Fontana,"('Loveasun', ' 9 hours ago')"
2024-06-06 00:40:43,4.34,"('Costco', '910 S Harbor Blvd & Knepp Ave')",Fullerton,"('Sohan24', ' 6 hours ago')"
2024-06-06 00:40:43,4.35,"('Costco', '7100 N Abby St near E Spruce Ave')",Fresno - North,"('Buddy_2awxkc22', ' 4 hours ago')"
2024-06-06 00:40:43,4.35,"('Fast Stop Mini Mart #2', '3101 S Market St & Grange St')",Redding,"('AZChryss2016', ' 4 hours ago')"
2024-06-06 00:40:43,6.99,"('Chevron', '12353 Deerfield Dr & Coldstream Rd')",Truckee,"('bigbakey', ' 10 hours ago')"
2024-06-06 00:40:43,6.99,"('Chevron', '200 CA-62 & US-95')",Vidal Junction,"('Goetzome', ' 8 hours ago')"
2024-06-06 00:40:43,6.89,"('Mobil', '22 Vista Point Dr & Tioga Pass Rd')",Lee Vining,"('tioga1', ' 6 hours ago')"
2024-06-06 00:40:43,6.69,"('76', '10041 Donner Pass Rd & Bridge St')",Truckee,"('GrHp', ' 17 hours ago')"
2024-06-06 00:40:43,6.59,"('Beacon', '10009 Donner Pass Rd & Bridge St')",Truckee,"('GrHp', ' 17 hours ago')"
