last_updated_price,Price,Station,Area,Thanks
2024-06-06 00:40:43,3.85,"('Fastrip', '195 W Hermosa St & N Sweetbriar Ave')",Lindsay,"('DAVEFMCC', ' 8 hours ago')"
2024-06-06 00:40:43,3.85,"('Valero', '122 W Hermosa St & N Elmwood Ave')",Lindsay,"('DAVEFMCC', ' 8 hours ago')"
2024-06-06 00:40:43,3.88,"('American Gas', '9111 Citrus Ave & Fontana Ave')",Fontana,"('Buddy_akt39km5', ' 10 hours ago')"
2024-06-06 00:40:43,3.93,"('Fastrip', '1687 CA-99 & Spruce St')",Gridley,"('DragonQueen007', ' 9 hours ago')"
2024-06-06 00:40:43,3.95,"('Fast Stop Mini Mart #2', '3101 S Market St & Grange St')",Redding,"('AZChryss2016', ' 4 hours ago')"
2024-06-06 00:40:43,3.95,"('Costco', '4805 Bechelli LN near S Bonnyview Rd')",Redding,"('AZChryss2016', ' 5 hours ago')"
2024-06-06 00:40:43,3.95,"('EZ Trip Travel Center', '6639 N Parkway Dr & W Herndon Ave')",Fresno - NW,"('Buddy_m2cbctmt', ' 6 hours ago')"
2024-06-06 00:40:43,3.95,"('Patriot', '3440 S Market St near Veda St')",Redding,"('roofrayser', ' 7 hours ago')"
2024-06-06 00:40:43,3.95,"('EZ Trip', '2171 W Shaw Ave & N Crystal Ave')",Fresno - NW,"('Johnny6496', ' 10 hours ago')"
2024-06-06 00:40:43,3.99,"('Costco', '2270 Clovis Ave & Santa Ana Ave')",Clovis,"('srjsr', ' 3 hours ago')"
2024-06-06 00:40:43,3.99,"('Costco', '520 N Lone Hill Ave & W Gladstone St')",San Dimas,"('leoychen', ' 5 hours ago')"
2024-06-06 00:40:43,3.99,"('FUEL UP!', '1124 E Chapman Ave & Raymond Ave')",Fullerton,"('greycherry', ' 2 hours ago')"
2024-06-06 00:40:43,3.99,"('Feather Falls Mini Mart', '6032 Lower Wyandotte Rd & Pano Ln')",Oroville,"('SilverFoxEZ', ' 3 hours ago')"
2024-06-06 00:40:43,3.99,"('FUEL UP!', '1021 E Shaw Ave & N First St')",Fresno - NE,"('sandyshelton71', ' 4 hours ago')"
2024-06-06 00:40:43,3.99,"('Fuel Mart', '1020 E Shaw Ave & N First St')",Fresno - NE,"('1awesomebowler', ' 5 hours ago')"
2024-06-06 00:40:43,8.55,"('Chevron', '31251 Goffs Rd & Fenner St')",Essex,"('moajots', ' 1 hour ago')"
2024-06-06 00:40:43,6.99,"('Chevron', '51557 US-395 & 1st St')",Lee Vining,"('LESDEB', ' 12 hours ago')"
2024-06-06 00:40:43,6.79,"('Chevron', '200 CA-62 & US-95')",Vidal Junction,"('Goetzome', ' 8 hours ago')"
